"filename", "language", "Python", "MS SQL", "Ini", "Properties", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Mg Magic\Documents\Programming_Project\src\UI\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\UI\menu.py", "Python", 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\Mg Magic\Documents\Programming_Project\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\DatabaseInitializer.py", "Python", 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\IDatabase.py", "Python", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\database.py", "Python", 65, 0, 0, 0, 0, 0, 4, 5, 74
"c:\Users\Mg Magic\Documents\Programming_Project\src\main.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage.db", "MS SQL", 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\IStorageRepository.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\StorageRepository.py", "Python", 31, 0, 0, 0, 0, 0, 9, 8, 48
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\IStorageService.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\StorageService.py", "Python", 18, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\dto.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Repository\IUserRepository.py", "Python", 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Repository\UserRepository.py", "Python", 38, 0, 0, 0, 0, 0, 10, 9, 57
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Service\IUserService.py", "Python", 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Service\UserService.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\dto.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\storage.db", "MS SQL", 0, -14, 0, 0, 0, 0, 0, 0, -14
"c:\Users\Mg Magic\Documents\Programming_Project\storage\IStorageRepository.py", "Python", -21, 0, 0, 0, 0, 0, 0, -9, -30
"c:\Users\Mg Magic\Documents\Programming_Project\storage\IStorageService.py", "Python", -21, 0, 0, 0, 0, 0, 0, -9, -30
"c:\Users\Mg Magic\Documents\Programming_Project\storage\StorageRepository.py", "Python", -41, 0, 0, 0, 0, 0, -10, -9, -60
"c:\Users\Mg Magic\Documents\Programming_Project\storage\StorageService.py", "Python", -18, 0, 0, 0, 0, 0, 0, -9, -27
"c:\Users\Mg Magic\Documents\Programming_Project\storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Mg Magic\Documents\Programming_Project\storage\dto.py", "Python", -5, 0, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Mg Magic\Documents\Programming_Project\test.db", "MS SQL", 0, -10, 0, 0, 0, 0, 0, 0, -10
"c:\Users\Mg Magic\Documents\Programming_Project\test_storage_repo.db", "MS SQL", 0, -13, 0, 0, 0, 0, 0, -1, -14
"c:\Users\Mg Magic\Documents\Programming_Project\test_user_repo.db", "MS SQL", 0, -11, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Mg Magic\Documents\Programming_Project\tests\storage_repository_test.py", "Python", 19, 0, 0, 0, 0, 0, 12, 14, 45
"c:\Users\Mg Magic\Documents\Programming_Project\tests\user_repository_test.py", "Python", 25, 0, 0, 0, 0, 0, 20, 19, 64
"c:\Users\Mg Magic\Documents\Programming_Project\user\IUserRepository.py", "Python", -25, 0, 0, 0, 0, 0, 0, -8, -33
"c:\Users\Mg Magic\Documents\Programming_Project\user\IUserService.py", "Python", -25, 0, 0, 0, 0, 0, 0, -8, -33
"c:\Users\Mg Magic\Documents\Programming_Project\user\UserRepository.py", "Python", -49, 0, 0, 0, 0, 0, -11, -10, -70
"c:\Users\Mg Magic\Documents\Programming_Project\user\UserService.py", "Python", -21, 0, 0, 0, 0, 0, 0, -9, -30
"c:\Users\Mg Magic\Documents\Programming_Project\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Mg Magic\Documents\Programming_Project\user\dto.py", "Python", -5, 0, 0, 0, 0, 0, 0, 0, -5
"Total", "-", 74, 5512, 5, 1, 322, -856, 28, -31, 5055
